st,county,STATE,composite,fipstxt,FIPS,count3
NC,Guilford,North Carolina,nc_guilford,37081,37081,10
NE,Lincoln,Nebraska,ne_lincoln,31111,31111,10
NY,New York,New York,ny_new york,36061,36061,10
SD,Pennington,South Dakota,sd_pennington,46103,46103,10
TN,Bedford,Tennessee,tn_bedford,47003,47003,10
TN,Blount,Tennessee,tn_blount,47009,47009,10
TN,Roane,Tennessee,tn_roane,47145,47145,10
TX,Johnson,Texas,tx_johnson,48251,48251,10
TX,Taylor,Texas,tx_taylor,48441,48441,10
AL,Chambers,Alabama,al_chambers,1017,1017,9
AL,Escambia,Alabama,al_escambia,1053,1053,9
AR,Greene,Arkansas,ar_greene,5055,5055,9
AR,Poinsett,Arkansas,ar_poinsett,5111,5111,9
AR,Sebastian,Arkansas,ar_sebastian,5131,5131,9
AZ,Coconino,Arizona,az_coconino,4005,4005,9
AZ,Gila,Arizona,az_gila,4007,4007,9
CA,Kern,California,ca_kern,6029,6029,9
CA,Monterey,California,ca_monterey,6053,6053,9
CT,Fairfield,Connecticut,ct_fairfield,9001,9001,9
CT,New Haven,Connecticut,ct_new haven,9009,9009,9
FL,Citrus,Florida,fl_citrus,12017,12017,9
FL,Hernando,Florida,fl_hernando,12053,12053,9
GA,Pickens,Georgia,ga_pickens,13227,13227,9
GA,Tift,Georgia,ga_tift,13277,13277,9
IA,Woodbury,Iowa,ia_woodbury,19193,19193,9
ID,Ada,Idaho,id_ada,16001,16001,9
IL,Fayette,Illinois,il_fayette,17051,17051,9
IL,Lee,Illinois,il_lee,17103,17103,9
IL,Logan,Illinois,il_logan,17107,17107,9
IL,Morgan,Illinois,il_morgan,17137,17137,9
IL,Wayne,Illinois,il_wayne,17191,17191,9
IN,Decatur,Indiana,in_decatur,18031,18031,9
IN,Newton,Indiana,in_newton,18111,18111,9
IN,Pulaski,Indiana,in_pulaski,18131,18131,9
IN,Wells,Indiana,in_wells,18179,18179,9
KY,Barren,Kentucky,ky_barren,21009,21009,9
KY,Boyle,Kentucky,ky_boyle,21021,21021,9
KY,Floyd,Kentucky,ky_floyd,21071,21071,9
KY,Livingston,Kentucky,ky_livingston,21139,21139,9
KY,Montgomery,Kentucky,ky_montgomery,21173,21173,9
KY,Nelson,Kentucky,ky_nelson,21179,21179,9
KY,Wolfe,Kentucky,ky_wolfe,21237,21237,9
LA,Concordia,Louisiana,la_concordia,22029,22029,9
MA,Middlesex,Massachusetts,ma_middlesex,25017,25017,9
MI,Clare,Michigan,mi_clare,26035,26035,9
MO,Jefferson,Missouri,mo_jefferson,29099,29099,9
MS,Kemper,Mississippi,ms_kemper,28069,28069,9
NC,Caldwell,North Carolina,nc_caldwell,37027,37027,9
NH,Rockingham,New Hampshire,nh_rockingham,33015,33015,9
OH,Champaign,Ohio,oh_champaign,39021,39021,9
OH,Fulton,Ohio,oh_fulton,39051,39051,9
OH,Medina,Ohio,oh_medina,39103,39103,9
OK,Stephens,Oklahoma,ok_stephens,40137,40137,9
PA,Beaver,Pennsylvania,pa_beaver,42007,42007,9
PA,Lancaster,Pennsylvania,pa_lancaster,42071,42071,9
PA,Philadelphia,Pennsylvania,pa_philadelphia,42101,42101,9
SC,Beaufort,South Carolina,sc_beaufort,45013,45013,9
TN,Franklin,Tennessee,tn_franklin,47051,47051,9
TX,Galveston,Texas,tx_galveston,48167,48167,9
TX,Lubbock,Texas,tx_lubbock,48303,48303,9
VA,Alexandria,Virginia,va_alexandria,51510,51510,9
WA,Snohomish,Washington,wa_snohomish,53061,53061,9
WY,Laramie,Wyoming,wy_laramie,56021,56021,9
AL,Cullman,Alabama,al_cullman,1043,1043,8
AL,Dale,Alabama,al_dale,1045,1045,8
AL,Franklin,Alabama,al_franklin,1059,1059,8
AL,Marengo,Alabama,al_marengo,1091,1091,8
AL,Marion,Alabama,al_marion,1093,1093,8
AR,Bradley,Arkansas,ar_bradley,5011,5011,8
AR,Columbia,Arkansas,ar_columbia,5027,5027,8
AR,Jackson,Arkansas,ar_jackson,5067,5067,8
FL,Osceola,Florida,fl_osceola,12097,12097,8
FL,Seminole,Florida,fl_seminole,12117,12117,8
GA,Cherokee,Georgia,ga_cherokee,13057,13057,8
GA,Clarke,Georgia,ga_clarke,13059,13059,8
GA,Coweta,Georgia,ga_coweta,13077,13077,8
GA,Gordon,Georgia,ga_gordon,13129,13129,8
GA,Lowndes,Georgia,ga_lowndes,13185,13185,8
GA,Rockdale,Georgia,ga_rockdale,13247,13247,8
HI,Honolulu,Hawaii,hi_honolulu,15003,15003,8
IL,Christian,Illinois,il_christian,17021,17021,8
IL,Clay,Illinois,il_clay,17025,17025,8
IL,Clinton,Illinois,il_clinton,17027,17027,8
IL,Ogle,Illinois,il_ogle,17141,17141,8
IL,Union,Illinois,il_union,17181,17181,8
IN,Dubois,Indiana,in_dubois,18037,18037,8
IN,Gibson,Indiana,in_gibson,18051,18051,8
KS,Geary,Kansas,ks_geary,20061,20061,8
KY,Caldwell,Kentucky,ky_caldwell,21033,21033,8
KY,Clay,Kentucky,ky_clay,21051,21051,8
KY,Harrison,Kentucky,ky_harrison,21097,21097,8
KY,Letcher,Kentucky,ky_letcher,21133,21133,8
KY,McCreary,Kentucky,ky_mccreary,21147,21147,8
MD,Baltimore,Maryland,md_baltimore,24005,24005,8
MI,Barry,Michigan,mi_barry,26015,26015,8
MI,Branch,Michigan,mi_branch,26023,26023,8
MI,Grand Traverse,Michigan,mi_grand traverse,26055,26055,8
MI,Ottawa,Michigan,mi_ottawa,26139,26139,8
MN,Blue Earth,Minnesota,mn_blue earth,27013,27013,8
MN,Freeborn,Minnesota,mn_freeborn,27047,27047,8
MN,Stearns,Minnesota,mn_stearns,27145,27145,8
MO,Cape Girardeau,Missouri,mo_cape girardeau,29031,29031,8
MO,Clay,Missouri,mo_clay,29047,29047,8
MS,Tishomingo,Mississippi,ms_tishomingo,28141,28141,8
NC,Gaston,North Carolina,nc_gaston,37071,37071,8
NE,Dodge,Nebraska,ne_dodge,31053,31053,8
NE,Madison,Nebraska,ne_madison,31119,31119,8
OH,Auglaize,Ohio,oh_auglaize,39011,39011,8
OH,Hancock,Ohio,oh_hancock,39063,39063,8
OH,Jackson,Ohio,oh_jackson,39079,39079,8
OH,Portage,Ohio,oh_portage,39133,39133,8
OH,Trumbull,Ohio,oh_trumbull,39155,39155,8
PA,Bucks,Pennsylvania,pa_bucks,42017,42017,8
PA,Luzerne,Pennsylvania,pa_luzerne,42079,42079,8
SC,Anderson,South Carolina,sc_anderson,45007,45007,8
SC,Spartanburg,South Carolina,sc_spartanburg,45083,45083,8
TN,Hardin,Tennessee,tn_hardin,47071,47071,8
TN,Henderson,Tennessee,tn_henderson,47077,47077,8
TN,Sullivan,Tennessee,tn_sullivan,47163,47163,8
TX,Fort Bend,Texas,tx_fort bend,48157,48157,8
TX,Gregg,Texas,tx_gregg,48183,48183,8
TX,Wichita,Texas,tx_wichita,48485,48485,8
WA,Clark,Washington,wa_clark,53011,53011,8
WI,Green,Wisconsin,wi_green,55045,55045,8
WI,Manitowoc,Wisconsin,wi_manitowoc,55071,55071,8
WI,Monroe,Wisconsin,wi_monroe,55081,55081,8
WI,Portage,Wisconsin,wi_portage,55097,55097,8
WI,St. Croix,Wisconsin,wi_st. croix,55109,55109,8
WI,Vilas,Wisconsin,wi_vilas,55125,55125,8
AL,Covington,Alabama,al_covington,1039,1039,7
AR,White,Arkansas,ar_white,5145,5145,7
AZ,Mohave,Arizona,az_mohave,4015,4015,7
CA,San Joaquin,California,ca_san joaquin,6077,6077,7
CA,San Mateo,California,ca_san mateo,6081,6081,7
FL,Manatee,Florida,fl_manatee,12081,12081,7
FL,Sarasota,Florida,fl_sarasota,12115,12115,7
GA,Carroll,Georgia,ga_carroll,13045,13045,7
IA,Cerro Gordo,Iowa,ia_cerro gordo,19033,19033,7
IA,Lee,Iowa,ia_lee,19111,19111,7
IA,Marshall,Iowa,ia_marshall,19127,19127,7
ID,Bonneville,Idaho,id_bonneville,16019,16019,7
IL,Crawford,Illinois,il_crawford,17033,17033,7
IL,Edgar,Illinois,il_edgar,17045,17045,7
IL,Marshall,Illinois,il_marshall,17123,17123,7
IL,Woodford,Illinois,il_woodford,17203,17203,7
IN,Parke,Indiana,in_parke,18121,18121,7
IN,Putnam,Indiana,in_putnam,18133,18133,7
IN,Tipton,Indiana,in_tipton,18159,18159,7
IN,White,Indiana,in_white,18181,18181,7
KS,Wyandotte,Kansas,ks_wyandotte,20209,20209,7
KY,Adair,Kentucky,ky_adair,21001,21001,7
KY,Clark,Kentucky,ky_clark,21049,21049,7
MI,Delta,Michigan,mi_delta,26041,26041,7
MI,Ionia,Michigan,mi_ionia,26067,26067,7
MI,Marquette,Michigan,mi_marquette,26103,26103,7
MI,Montcalm,Michigan,mi_montcalm,26117,26117,7
MN,Olmsted,Minnesota,mn_olmsted,27109,27109,7
MN,Rice,Minnesota,mn_rice,27131,27131,7
MN,Sherburne,Minnesota,mn_sherburne,27141,27141,7
MO,Buchanan,Missouri,mo_buchanan,29021,29021,7
MO,Dunklin,Missouri,mo_dunklin,29069,29069,7
MO,Pulaski,Missouri,mo_pulaski,29169,29169,7
MS,Benton,Mississippi,ms_benton,28009,28009,7
MS,Noxubee,Mississippi,ms_noxubee,28103,28103,7
MS,Simpson,Mississippi,ms_simpson,28127,28127,7
NC,Catawba,North Carolina,nc_catawba,37035,37035,7
NC,Davidson,North Carolina,nc_davidson,37057,37057,7
NC,Forsyth,North Carolina,nc_forsyth,37067,37067,7
NC,Pender,North Carolina,nc_pender,37141,37141,7
NC,Wake,North Carolina,nc_wake,37183,37183,7
ND,Cass,North Dakota,nd_cass,38017,38017,7
OH,Geauga,Ohio,oh_geauga,39055,39055,7
OH,Highland,Ohio,oh_highland,39071,39071,7
OH,Hocking,Ohio,oh_hocking,39073,39073,7
OK,Pontotoc,Oklahoma,ok_pontotoc,40123,40123,7
OR,Clackamas,Oregon,or_clackamas,41005,41005,7
PA,Berks,Pennsylvania,pa_berks,42011,42011,7
PA,Erie,Pennsylvania,pa_erie,42049,42049,7
SC,Sumter,South Carolina,sc_sumter,45085,45085,7
SC,York,South Carolina,sc_york,45091,45091,7
TN,Benton,Tennessee,tn_benton,47005,47005,7
TN,Jefferson,Tennessee,tn_jefferson,47089,47089,7
TN,Maury,Tennessee,tn_maury,47119,47119,7
TN,Polk,Tennessee,tn_polk,47139,47139,7
TN,Robertson,Tennessee,tn_robertson,47147,47147,7
TX,Cameron,Texas,tx_cameron,48061,48061,7
TX,Potter,Texas,tx_potter,48375,48375,7
VA,Richmond City,Virginia,va_richmond city,51760,51760,7
VA,Tazewell,Virginia,va_tazewell,51185,51185,7
WI,Iowa,Wisconsin,wi_iowa,55049,55049,7
WI,Jefferson,Wisconsin,wi_jefferson,55055,55055,7
WI,Juneau,Wisconsin,wi_juneau,55057,55057,7
WI,Price,Wisconsin,wi_price,55099,55099,7
WI,Washburn,Wisconsin,wi_washburn,55129,55129,7
WV,Mercer,West Virginia,wv_mercer,54055,54055,7
AL,Bibb,Alabama,al_bibb,1007,1007,6
AL,Cherokee,Alabama,al_cherokee,1019,1019,6
AL,Elmore,Alabama,al_elmore,1051,1051,6
AL,Greene,Alabama,al_greene,1063,1063,6
AR,Crawford,Arkansas,ar_crawford,5033,5033,6
AR,Cross,Arkansas,ar_cross,5037,5037,6
AR,Johnson,Arkansas,ar_johnson,5071,5071,6
AR,Lawrence,Arkansas,ar_lawrence,5075,5075,6
AR,Prairie,Arkansas,ar_prairie,5117,5117,6
AZ,Pinal,Arizona,az_pinal,4021,4021,6
CA,Fresno,California,ca_fresno,6019,6019,6
CA,San Francisco,California,ca_san francisco,6075,6075,6
CA,Stanislaus,California,ca_stanislaus,6099,6099,6
CA,Ventura,California,ca_ventura,6111,6111,6
CT,New London,Connecticut,ct_new london,9011,9011,6
DE,New Castle,Delaware,de_new castle,10003,10003,6
FL,Highlands,Florida,fl_highlands,12055,12055,6
FL,Martin,Florida,fl_martin,12085,12085,6
GA,Baldwin,Georgia,ga_baldwin,13009,13009,6
GA,Henry,Georgia,ga_henry,13151,13151,6
GA,Toombs,Georgia,ga_toombs,13279,13279,6
IA,Henry,Iowa,ia_henry,19087,19087,6
IL,Piatt,Illinois,il_piatt,17147,17147,6
IL,Randolph,Illinois,il_randolph,17157,17157,6
IN,Brown,Indiana,in_brown,18013,18013,6
IN,Daviess,Indiana,in_daviess,18027,18027,6
KS,Montgomery,Kansas,ks_montgomery,20125,20125,6
KY,Bourbon,Kentucky,ky_bourbon,21017,21017,6
KY,Carter,Kentucky,ky_carter,21043,21043,6
KY,Green,Kentucky,ky_green,21087,21087,6
KY,Logan,Kentucky,ky_logan,21141,21141,6
KY,Ohio,Kentucky,ky_ohio,21183,21183,6
LA,Franklin,Louisiana,la_franklin,22041,22041,6
LA,St. John the Baptist,Louisiana,la_st. john the baptist,22095,22095,6
LA,Washington,Louisiana,la_washington,22117,22117,6
MA,Essex,Massachusetts,ma_essex,25009,25009,6
MA,Norfolk,Massachusetts,ma_norfolk,25021,25021,6
MI,Eaton,Michigan,mi_eaton,26045,26045,6
MI,Jackson,Michigan,mi_jackson,26075,26075,6
MI,Mecosta,Michigan,mi_mecosta,26107,26107,6
MI,St. Clair,Michigan,mi_st. clair,26147,26147,6
MN,Isanti,Minnesota,mn_isanti,27059,27059,6
MO,Franklin,Missouri,mo_franklin,29071,29071,6
MO,Pettis,Missouri,mo_pettis,29159,29159,6
MO,Phelps,Missouri,mo_phelps,29161,29161,6
MO,Stoddard,Missouri,mo_stoddard,29207,29207,6
MS,Covington,Mississippi,ms_covington,28031,28031,6
MS,Walthall,Mississippi,ms_walthall,28147,28147,6
MT,Missoula,Montana,mt_missoula,30063,30063,6
NE,Sarpy,Nebraska,ne_sarpy,31153,31153,6
NE,Scotts Bluff,Nebraska,ne_scotts bluff,31157,31157,6
NM,Curry,New Mexico,nm_curry,35009,35009,6
NM,Dona Ana,New Mexico,nm_dona ana,35013,35013,6
NY,Monroe,New York,ny_monroe,36055,36055,6
NY,Westchester,New York,ny_westchester,36119,36119,6
OH,Clinton,Ohio,oh_clinton,39027,39027,6
OH,Crawford,Ohio,oh_crawford,39033,39033,6
OH,Preble,Ohio,oh_preble,39135,39135,6
OH,Williams,Ohio,oh_williams,39171,39171,6
OR,Multnomah,Oregon,or_multnomah,41051,41051,6
PA,Fayette,Pennsylvania,pa_fayette,42051,42051,6
PA,Susquehanna,Pennsylvania,pa_susquehanna,42115,42115,6
SC,Lexington,South Carolina,sc_lexington,45063,45063,6
SD,Minnehaha,South Dakota,sd_minnehaha,46099,46099,6
TN,Bradley,Tennessee,tn_bradley,47011,47011,6
TN,Campbell,Tennessee,tn_campbell,47013,47013,6
TN,Coffee,Tennessee,tn_coffee,47031,47031,6
TN,Dickson,Tennessee,tn_dickson,47043,47043,6
TN,Hardeman,Tennessee,tn_hardeman,47069,47069,6
TN,Hickman,Tennessee,tn_hickman,47081,47081,6
TN,Marion,Tennessee,tn_marion,47115,47115,6
TN,Weakley,Tennessee,tn_weakley,47183,47183,6
TX,Hidalgo,Texas,tx_hidalgo,48215,48215,6
VA,Colonial Heights,Virginia,va_colonial heights,51570,51570,6
VA,Hanover,Virginia,va_hanover,51085,51085,6
WA,Lewis,Washington,wa_lewis,53041,53041,6
WA,Skagit,Washington,wa_skagit,53057,53057,6
WA,Yakima,Washington,wa_yakima,53077,53077,6
WI,Douglas,Wisconsin,wi_douglas,55031,55031,6
WI,Marathon,Wisconsin,wi_marathon,55073,55073,6
WI,Marquette,Wisconsin,wi_marquette,55077,55077,6
WI,Sawyer,Wisconsin,wi_sawyer,55113,55113,6
WY,Natrona,Wyoming,wy_natrona,56025,56025,6
AL,Baldwin,Alabama,al_baldwin,1003,1003,5
AL,Russell,Alabama,al_russell,1113,1113,5
AL,Tallapoosa,Alabama,al_tallapoosa,1123,1123,5
AR,Independence,Arkansas,ar_independence,5063,5063,5
AR,Polk,Arkansas,ar_polk,5113,5113,5
AR,Van Buren,Arkansas,ar_van buren,5141,5141,5
FL,Pasco,Florida,fl_pasco,12101,12101,5
GA,Forsyth,Georgia,ga_forsyth,13117,13117,5
GA,Newton,Georgia,ga_newton,13217,13217,5
GA,Taylor,Georgia,ga_taylor,13269,13269,5
GA,Ware,Georgia,ga_ware,13299,13299,5
IA,Benton,Iowa,ia_benton,19011,19011,5
IA,Story,Iowa,ia_story,19169,19169,5
IL,Douglas,Illinois,il_douglas,17041,17041,5
IL,Fulton,Illinois,il_fulton,17057,17057,5
IL,Hamilton,Illinois,il_hamilton,17065,17065,5
IL,Montgomery,Illinois,il_montgomery,17135,17135,5
IN,Blackford,Indiana,in_blackford,18009,18009,5
IN,LaGrange,Indiana,in_lagrange,18087,18087,5
KS,Butler,Kansas,ks_butler,20015,20015,5
KY,Ballard,Kentucky,ky_ballard,21007,21007,5
KY,Butler,Kentucky,ky_butler,21031,21031,5
KY,Grant,Kentucky,ky_grant,21081,21081,5
KY,Hancock,Kentucky,ky_hancock,21091,21091,5
KY,Larue,Kentucky,ky_larue,21123,21123,5
KY,Leslie,Kentucky,ky_leslie,21131,21131,5
KY,Metcalfe,Kentucky,ky_metcalfe,21169,21169,5
KY,Oldham,Kentucky,ky_oldham,21185,21185,5
KY,Wayne,Kentucky,ky_wayne,21231,21231,5
LA,Ascension,Louisiana,la_ascension,22005,22005,5
LA,La Salle,Louisiana,la_la salle,22059,22059,5
LA,Richland,Louisiana,la_richland,22083,22083,5
LA,St. Mary,Louisiana,la_st. mary,22101,22101,5
LA,Union,Louisiana,la_union,22111,22111,5
MA,Worcester,Massachusetts,ma_worcester,25027,25027,5
MD,Anne Arundel,Maryland,md_anne arundel,24003,24003,5
MI,Menominee,Michigan,mi_menominee,26109,26109,5
MI,Monroe,Michigan,mi_monroe,26115,26115,5
MI,Washtenaw,Michigan,mi_washtenaw,26161,26161,5
MN,Carlton,Minnesota,mn_carlton,27017,27017,5
MN,Cass,Minnesota,mn_cass,27021,27021,5
MN,Pine,Minnesota,mn_pine,27115,27115,5
MN,Winona,Minnesota,mn_winona,27169,27169,5
MO,Boone,Missouri,mo_boone,29019,29019,5
MO,Howell,Missouri,mo_howell,29091,29091,5
MO,Pemiscot,Missouri,mo_pemiscot,29155,29155,5
MO,Texas,Missouri,mo_texas,29215,29215,5
MS,Hancock,Mississippi,ms_hancock,28045,28045,5
NC,Ashe,North Carolina,nc_ashe,37009,37009,5
NC,Cabarrus,North Carolina,nc_cabarrus,37025,37025,5
NC,Carteret,North Carolina,nc_carteret,37031,37031,5
NC,Craven,North Carolina,nc_craven,37049,37049,5
NE,Cheyenne,Nebraska,ne_cheyenne,31033,31033,5
NM,San Juan,New Mexico,nm_san juan,35045,35045,5
NM,Santa Fe,New Mexico,nm_santa fe,35049,35049,5
NY,Herkimer,New York,ny_herkimer,36043,36043,5
OH,Ashtabula,Ohio,oh_ashtabula,39007,39007,5
OH,Pike,Ohio,oh_pike,39131,39131,5
OH,Ross,Ohio,oh_ross,39141,39141,5
OK,Muskogee,Oklahoma,ok_muskogee,40101,40101,5
OK,Rogers,Oklahoma,ok_rogers,40131,40131,5
OR,Marion,Oregon,or_marion,41047,41047,5
PA,Clearfield,Pennsylvania,pa_clearfield,42033,42033,5
PA,Westmoreland,Pennsylvania,pa_westmoreland,42129,42129,5
SC,Berkeley,South Carolina,sc_berkeley,45015,45015,5
SC,Horry,South Carolina,sc_horry,45051,45051,5
SC,Orangeburg,South Carolina,sc_orangeburg,45075,45075,5
SD,Turner,South Dakota,sd_turner,46125,46125,5
TN,Carter,Tennessee,tn_carter,47019,47019,5
TN,Chester,Tennessee,tn_chester,47023,47023,5
TN,Cocke,Tennessee,tn_cocke,47029,47029,5
TN,Cumberland,Tennessee,tn_cumberland,47035,47035,5
TN,Giles,Tennessee,tn_giles,47055,47055,5
TN,Williamson,Tennessee,tn_williamson,47187,47187,5
UT,Weber,Utah,ut_weber,49057,49057,5
VA,Isle of Wight,Virginia,va_isle of wight,51093,51093,5
VA,Montgomery,Virginia,va_montgomery,51121,51121,5
VA,Stafford,Virginia,va_stafford,51179,51179,5
WA,Thurston,Washington,wa_thurston,53067,53067,5
WI,Clark,Wisconsin,wi_clark,55019,55019,5
WI,Jackson,Wisconsin,wi_jackson,55053,55053,5
WI,Langlade,Wisconsin,wi_langlade,55067,55067,5
WV,Fayette,West Virginia,wv_fayette,54019,54019,5
WV,Marion,West Virginia,wv_marion,54049,54049,5
WV,McDowell,West Virginia,wv_mcdowell,54047,54047,5
WV,Mingo,West Virginia,wv_mingo,54059,54059,5
WV,Monongalia,West Virginia,wv_monongalia,54061,54061,5
WV,Nicholas,West Virginia,wv_nicholas,54067,54067,5
AK,Fairbanks North Star,Alaska,ak_fairbanks north star,2090,2090,4
AL,Barbour,Alabama,al_barbour,1005,1005,4
AL,Choctaw,Alabama,al_choctaw,1023,1023,4
AL,Clarke,Alabama,al_clarke,1025,1025,4
AL,Lamar,Alabama,al_lamar,1075,1075,4
AL,Pickens,Alabama,al_pickens,1107,1107,4
AL,Randolph,Alabama,al_randolph,1111,1111,4
AL,Shelby,Alabama,al_shelby,1117,1117,4
AL,Winston,Alabama,al_winston,1133,1133,4
AR,Carroll,Arkansas,ar_carroll,5015,5015,4
AR,Cleburne,Arkansas,ar_cleburne,5023,5023,4
AR,Drew,Arkansas,ar_drew,5043,5043,4
AR,Hempstead,Arkansas,ar_hempstead,5057,5057,4
AR,Pope,Arkansas,ar_pope,5115,5115,4
AR,Saline,Arkansas,ar_saline,5125,5125,4
AZ,Navajo,Arizona,az_navajo,4017,4017,4
CA,Shasta,California,ca_shasta,6089,6089,4
CA,Tulare,California,ca_tulare,6107,6107,4
CO,Mesa,Colorado,co_mesa,8077,8077,4
FL,Alachua,Florida,fl_alachua,12001,12001,4
FL,Charlotte,Florida,fl_charlotte,12015,12015,4
FL,Collier,Florida,fl_collier,12021,12021,4
GA,Catoosa,Georgia,ga_catoosa,13047,13047,4
GA,Fannin,Georgia,ga_fannin,13111,13111,4
GA,Fayette,Georgia,ga_fayette,13113,13113,4
GA,Grady,Georgia,ga_grady,13131,13131,4
GA,Lumpkin,Georgia,ga_lumpkin,13187,13187,4
GA,McDuffie,Georgia,ga_mcduffie,13189,13189,4
GA,Polk,Georgia,ga_polk,13233,13233,4
GA,Randolph,Georgia,ga_randolph,13243,13243,4
GA,Washington,Georgia,ga_washington,13303,13303,4
IA,Buena Vista,Iowa,ia_buena vista,19021,19021,4
IA,Crawford,Iowa,ia_crawford,19047,19047,4
IA,Iowa,Iowa,ia_iowa,19095,19095,4
IA,Pottawattamie,Iowa,ia_pottawattamie,19155,19155,4
ID,Bingham,Idaho,id_bingham,16011,16011,4
IL,Ford,Illinois,il_ford,17053,17053,4
IL,Hancock,Illinois,il_hancock,17067,17067,4
IL,Jersey,Illinois,il_jersey,17083,17083,4
IL,Richland,Illinois,il_richland,17159,17159,4
IN,Adams,Indiana,in_adams,18001,18001,4
IN,Orange,Indiana,in_orange,18117,18117,4
IN,Perry,Indiana,in_perry,18123,18123,4
IN,Warrick,Indiana,in_warrick,18173,18173,4
KS,Finney,Kansas,ks_finney,20055,20055,4
KS,Leavenworth,Kansas,ks_leavenworth,20103,20103,4
KS,Reno,Kansas,ks_reno,20155,20155,4
KY,Breathitt,Kentucky,ky_breathitt,21025,21025,4
KY,Edmonson,Kentucky,ky_edmonson,21061,21061,4
KY,Grayson,Kentucky,ky_grayson,21085,21085,4
KY,Jackson,Kentucky,ky_jackson,21109,21109,4
KY,Magoffin,Kentucky,ky_magoffin,21153,21153,4
KY,Marshall,Kentucky,ky_marshall,21157,21157,4
KY,Washington,Kentucky,ky_washington,21229,21229,4
LA,Claiborne,Louisiana,la_claiborne,22027,22027,4
MD,Baltimore City,Maryland,md_baltimore city,24510,24510,4
MD,Montgomery,Maryland,md_montgomery,24031,24031,4
MI,Manistee,Michigan,mi_manistee,26101,26101,4
MN,Nicollet,Minnesota,mn_nicollet,27103,27103,4
MN,Scott,Minnesota,mn_scott,27139,27139,4
MO,Callaway,Missouri,mo_callaway,29027,29027,4
MO,Christian,Missouri,mo_christian,29043,29043,4
MO,Henry,Missouri,mo_henry,29083,29083,4
MO,Marion,Missouri,mo_marion,29127,29127,4
MS,Lawrence,Mississippi,ms_lawrence,28077,28077,4
MS,Stone,Mississippi,ms_stone,28131,28131,4
MS,Webster,Mississippi,ms_webster,28155,28155,4
MT,Flathead,Montana,mt_flathead,30029,30029,4
NC,Iredell,North Carolina,nc_iredell,37097,37097,4
NC,Lincoln,North Carolina,nc_lincoln,37109,37109,4
NC,Moore,North Carolina,nc_moore,37125,37125,4
NC,New Hanover,North Carolina,nc_new hanover,37129,37129,4
NC,Orange,North Carolina,nc_orange,37135,37135,4
NC,Randolph,North Carolina,nc_randolph,37151,37151,4
NC,Robeson,North Carolina,nc_robeson,37155,37155,4
NC,Rockingham,North Carolina,nc_rockingham,37157,37157,4
NC,Rowan,North Carolina,nc_rowan,37159,37159,4
NC,Rutherford,North Carolina,nc_rutherford,37161,37161,4
NC,Wayne,North Carolina,nc_wayne,37191,37191,4
ND,Grand Forks,North Dakota,nd_grand forks,38035,38035,4
NE,Adams,Nebraska,ne_adams,31001,31001,4
NE,Buffalo,Nebraska,ne_buffalo,31019,31019,4
NJ,Hudson,New Jersey,nj_hudson,34017,34017,4
NM,Otero,New Mexico,nm_otero,35035,35035,4
NM,Sandoval,New Mexico,nm_sandoval,35043,35043,4
NY,Suffolk,New York,ny_suffolk,36103,36103,4
OH,Athens,Ohio,oh_athens,39009,39009,4
OH,Huron,Ohio,oh_huron,39077,39077,4
OH,Jefferson,Ohio,oh_jefferson,39081,39081,4
OH,Mercer,Ohio,oh_mercer,39107,39107,4
OH,Sandusky,Ohio,oh_sandusky,39143,39143,4
OH,Seneca,Ohio,oh_seneca,39147,39147,4
OH,Union,Ohio,oh_union,39159,39159,4
OK,Canadian,Oklahoma,ok_canadian,40017,40017,4
OK,Cleveland,Oklahoma,ok_cleveland,40027,40027,4
OK,Jackson,Oklahoma,ok_jackson,40065,40065,4
OK,McCurtain,Oklahoma,ok_mccurtain,40089,40089,4
OK,Pottawatomie,Oklahoma,ok_pottawatomie,40125,40125,4
OK,Washington,Oklahoma,ok_washington,40147,40147,4
OR,Douglas,Oregon,or_douglas,41019,41019,4
PA,Blair,Pennsylvania,pa_blair,42013,42013,4
PA,Chester,Pennsylvania,pa_chester,42029,42029,4
PA,Cumberland,Pennsylvania,pa_cumberland,42041,42041,4
PA,Franklin,Pennsylvania,pa_franklin,42055,42055,4
SC,Aiken,South Carolina,sc_aiken,45003,45003,4
SC,Lancaster,South Carolina,sc_lancaster,45057,45057,4
SC,Lee,South Carolina,sc_lee,45061,45061,4
TN,Claiborne,Tennessee,tn_claiborne,47025,47025,4
TN,Greene,Tennessee,tn_greene,47059,47059,4
TN,Hamblen,Tennessee,tn_hamblen,47063,47063,4
TN,Humphreys,Tennessee,tn_humphreys,47085,47085,4
TN,Lauderdale,Tennessee,tn_lauderdale,47097,47097,4
TN,Sumner,Tennessee,tn_sumner,47165,47165,4
TN,White,Tennessee,tn_white,47185,47185,4
TX,Cass,Texas,tx_cass,48067,48067,4
TX,Cherokee,Texas,tx_cherokee,48073,48073,4
TX,Grayson,Texas,tx_grayson,48181,48181,4
TX,Hunt,Texas,tx_hunt,48231,48231,4
TX,Montgomery,Texas,tx_montgomery,48339,48339,4
TX,Wharton,Texas,tx_wharton,48481,48481,4
TX,Wood,Texas,tx_wood,48499,48499,4
VA,Buchanan,Virginia,va_buchanan,51027,51027,4
VA,Prince William,Virginia,va_prince william,51153,51153,4
VA,Roanoke City,Virginia,va_roanoke city,51770,51770,4
